FullName,StartValue
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldPositionAfterOffsetX","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldPositionAfterOffsetY","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldPositionAfterOffsetZ","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.ShieldingGasFlowratre","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.PreflowShieldingGasDuration","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.PostflowShieldingGasDuration","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldingMaskCleaningCycle","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Judgement","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].StartTime","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].EndTime","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].OperationTypeID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].OperationID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].SequenceNumber","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Measurements.NokReason","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Measurements.WpcRFID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Measurements.SidePlate1ID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Measurements.SidePlate2ID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Measurements.SidePlateClampingForceLeftY","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Measurements.SidePlateClampingForceLeftZ","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Measurements.SidePlateClampingForceRightY","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.SidePlateAttach.SidePlateAttach[0].Measurements.SidePlateClampingForceRightZ","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Headers.SenderFBS","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Headers.SenderHWAddr","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Headers.RequestUUID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Headers.RequestAttempt","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Headers.RequestTimestamp","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.ResponseData.Error.Errors.Errors[0].Code","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.ResponseData.Error.Errors.Errors[0].Message","''"
